__token__,__occurence__
ɓu-mɔɔrɔ-ɗoŋ-naar,2
Ho,51
sɔnti,73
ti'nɛ́,128
Kóò,81
Izak,142
Ko,65
kɔfamɔ,25
be-wan,134
bɔr-wa,6
kale,160
Kpɔk,22
yí-a,108
nyɛi̧a-a,85
maa,39
haya-a,175
we,326
Nyaa,58
gɔma,65
ɓir,207
kpánà,91
be-ao,1
fuu,130
vátí,1
ha̧n,2
makala,41
ma,63
be-ndai,11
kaŋa-yibere,3
yibere,48
gia'i,2
Bin-mgba-pɛ,1
be-wiwii.,1
wen'i,360
sɔka,47
wɔ,126
Zɔk,33
dáa-wan-tua,1
gbɛ́rɛ́,11
mam,63
wó'ɛ,25
gan,578
bin-mgba-pɛ,3
kafa,8
Nɛ̀,241
ŋgaya,93
kpasamɔ,54
Hiɗimɔ,4
zale,36
deemɔ,638
zia'i,18
bòò,116
ɓɔn,417
ɗɔla,10
Ŋmafara,34
ɓu-mɔɔrɔ,82
saaye,404
kita,393
Ɛnɛ,520
bùk,24
Wan,841
ɓu-naar-zua-mɔɔrɔ,3
ɓu-naar.,1
ɓu-taar.,1
benaŋ,36
ɓu-yiitoo.,1
ɓu-yiitoo,87
ka,64
garo,325
ɓír,14
ɔa-a,22
fɔra,26
tutuyɛ,147
yaka.,1
aia,104
gii,103
hao,88
obem,66
sɔkawi,27
tɛ-mɛ'ɛ,8
fó,40
siɓi,9
Ɔ,19
wa.,13
ira,17
yiitoo'i,68
dak,108
bom,4
be-for-mɛ,2
Ɛɛ,191
zer,103
be-for,9
kúr,163
be-for-aa,3
zɛŋ,15
gɔna-ndaa-zan,16
er-a,269
áá,1
yú,81
Mɔ'ɔ,31
batɛ,81
aka'i,6
m'i,85
na.,76
toma,444
baraadu,10
gbuɗuk,40
zika-nù,63
ta-tɔŋ,1
sut,34
zi-wee,31
ŋmák-ŋmák,1
daŋa,216
di̧i̧,55
be-ɗoŋ,15
kaya-be-okoo,1
be-okoo'i,3
zɛ'ɛ,7
Kaya-bem,12
Mɔab,177
Be-ɗoŋ,1
Bɛn-Ami,1
Amɔŋ,140
boko-nya-wi,10
Abimɛlɛk,70
kóò'ɛ,24
bu̧i̧-nya-wi,2
sa̧a̧-see,19
hɔɔ-zu,28
wi-tɔ̧-wen,432
ɗoŋ-mɛ,7
siɗoŋ,64
yɛɛ'ɛ,5
pɛrti,163
yuu-kíí,3
nàá,10
ɗoŋ-am,72
wiwii-de-tom,1
okoo-a,12
hók,24
kɔya,67
booro,90
bu̧i̧-nya-mɛ,3
ndɔra,15
dea-a,77
bɔr-aa,4
mbɛt'e,47
bere,30
sɔki,16
bɛ̧ɛ̧,75
ndák,28
mɔɔ-oi,233
Wen'i,39
kɔ̧́,479
ger,105
Bɛrseba,28
fio,641
ŋgaya-a,143
hiɗimɔ,61
duk'i,9
kás'a,1
ɗuu,9
wi-pi̧-góò,12
Paraŋ,9
Pikɔl,3
wi-biro,763
kán,14
ɗɔra,72
bezaŋ-am,5
wuli,11
gɔna-yí-nɔɔ,2
zia-a,16
nɛtɛ'ɛ,2
mɔɔ-er-am,1
yì'ɛ,12
ɗɔŋ,44
wor,23
sara,78
Mɔriya,2
kpoo-sɔ̧,175
hɛra,85
gbaa,49
gua,34
dɔa-a,43
Taar,4
yá,113
kpa'nɛ́,17
gua-ɗafi-sɔ̧,1
paa,11
Baaba,4
m.,30
Wee,14
bɔɔ,174
ɗafa,356
hɛr,113
giti,85
fara-dɔ-kpoo-sɔ̧,27
bɛ̧,95
zak-a,5
haka,2
da̧a̧,65
sami'i,16
kana,301
nyɛmɛ,28
toka-de-yoŋgo,22
hɔ-ɗoŋ-aa,43
Buz,4
Kemuɛl,3
Kɛsɛd,1
Hazɔ,1
Pildas,1
Yidlaf,1
Bɛtuɛl,10
Rebeka,39
Reuma,1
Teba,1
Gaham,1
Tahas,1
Maka,31
gɔŋmaa-nɛ-ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo,1
fea,221
Kiriat-Arba,9
gera,6
Hɛt'e,1
ee'nɛ́,13
gún,16
áí,37
Efrɔŋ,13
Sɔhar,4
Makpɛla,6
ɗɔr,76
mgbák,225
fara-gun-fio,5
tɛa,39
sɛ,70
Fɔ,6
be-nù,20
Kɔya,3
gɔmŋmaa-naar,16
wi-de-gɛnɛ,6
bɛɛ-nù,3
pí̧,64
ku,104
sɛnɛ'ɛ,20
Wi-de-tom,46
kan,119
‹Mi,75
bezaŋ-mɛ›,1
kanamɔ,41
Mesopotamii,5
ɗu,34
úsí,90
kɔ̧ɔ̧mɔ,248
dekpaa,7
Boko-bem,25
wɛ́r,3
kpáná-yì,8
yi›,1
kifa-nú,34
‹Mɛ̀,73
nɔ́,100
mbɛt›,2
Nú-a,2
zɔm,195
daŋ,263
wara,18
kpáná,3
hira,7
kombon-nɔ-yì,4
see'e,3
náà,60
wele,15
gɛnɛ-a,41
zɔ̧ɔ̧,14
káná,19
fara-ɔ,14
Hoe,1
yuɗu,10
zugur,55
deako,38
Labaŋ,60
tóká,1
zu'nɛ́,372
s,130
bur,39
tui,178
hoe,5
hɛra-yuɗu,1
fɔr,65
naŋ-wa,44
sɛ.,1
‹Mɛ,29
sɛnɛ.›,7
‹Ŋmafara,1
›,310
‹GASA,30
mɛ.›,16
gɔna-yì'ɛ,1
m.›,21
mbɛt.›,21
‹Mɛ́,14
Nahɔr.›,1
zugur-am,8
osoko,150
har,6
ŋgaɓo.›,2
bɛ̧a̧-a̧,2
zugur-aa,9
mɔɔ-dɔka,1
bu̧i̧-nya,3
ák,45
Ii,13
boko-nya-wa,11
be-sembaa,1
Boko-nya-ɛɛ,1
gíí,149
Lahai-Roi,2
zaŋbɛɛ,114
yi-a,25
tɛa-a,43
zaŋbɛɛ'ɛ,3
ga̧a̧-see,46
Kɛtura,4
Zimram,2
Yoksaŋ,4
Mɛdaŋ,2
Madiaŋ,67
Yisbak,2
Sua,12
Lɛtus,1
Lɛum,1
Efa,2
Efɛr,6
Hanɔk,5
Abida,2
Elda,1
Kedɛm,3
Pɛ,17
gɔmŋmaa-nɛ-ɓu-mɔɔrɔ-ɗoŋ-yiitoo-zua-mɔɔrɔ,1
tu̧u̧-tɛ,14
Nɛbayot,5
Kedar,10
Adbeɛl,2
Mibsam,4
Misma,4
Duma,4
Masa,8
Hadad,19
Tema,3
Yɛtur,2
Nafis,3
Kɛdma,2
Nin-wa,6
gɔŋmaa-nɛ-ɓu-taar-zua-mɔɔrɔ-ɗoŋ-yiitoo,1
nya-wa,66
ɓan,68
Pɛ́r-nam,3
be-dan,4
too,17
fe.,2
Kpar,6
giiwi,207
dùk-aa,25
ɓii-aa,71
Kaya-wi,2
hɔa,99
dan,3
bumu,4
gbɛ̧-a̧,37
buma,39
Esau,97
kasa,91
dukui-naŋ,1
Jakob,403
ɓu-mɔɔrɔ-ɗoŋ-kpɔk,28
be-ta-mɔ,1
kpoo-zaŋbɛɛ,3
hun,1
mbɔia,35
gbɛ̧,108
kɔ-mɛ'ɛ,11
nyɛmna.,2
Edɔm,111
gbɛ̧-mɔ,5
kaya-wi,19
sɔsɔɔ.,4
Kaɓa,8
heembea,600
geŋa,159
kà̧,6
so'e,148
wó,219
woi-tua,27
dɛma,17
dita-bíí,23
tura,8
gɔna-yi,10
Yì'ɛ,2
ɛɛ.,2
Ezɛk,1
Kpɛri,4
kpɛra,5
kɔ̧-yì,6
i̧i̧,76
Sitna,1
Sɛnmɔ,5
kpɛr,15
yi'i,14
Rehobot,3
Ahuzat,1
wi-tɔ̧-mbɔrɔ,20
Bo,136
sɛna,57
nú-wa,97
*nɔɔ-tɔk,8
sút,4
Kanamɔ,1
Kuti-a,9
Yehudit,1
Bɛri,2
Basmat,7
Elɔŋ,14
tu̧u̧-see,56
for-wa,1
sa̧a̧-a̧,200
baaba,3
Kinii'i,6
boi,92
ɓaro-góò,2
kusaa,17
gia,7
baka,4
gi,31
ha'i,180
